TITLE = "Residual History"
VARIABLES = "Step" "Time" "Residual"
ZONE F=POINT
103 0.201961 0.00344896
104 0.203922 0.00344896
105 0.205882 0.00344896
106 0.207843 0.00344896
107 0.209804 0.00344896
108 0.211765 0.00344896
109 0.213725 0.00344896
110 0.215686 0.00344896
111 0.217647 0.00344896
112 0.219608 0.00344896
113 0.221569 0.00344896
114 0.223529 0.00344896
115 0.22549 0.00344896
116 0.227451 0.00344896
117 0.229412 0.00344896
118 0.231373 0.00344896
119 0.233333 0.00344896
120 0.235294 0.00344896
121 0.237255 0.00344896
122 0.239216 0.00344896
123 0.241176 0.00344896
124 0.243137 0.00344896
125 0.245098 0.00344896
126 0.247059 0.00344896
127 0.24902 0.00344896
128 0.25098 0.00344896
129 0.252941 0.00344896
130 0.254902 0.00344896
131 0.256863 0.00344896
132 0.258824 0.00344896
133 0.260784 0.00344896
134 0.262745 0.00344896
135 0.264706 0.00344896
136 0.266667 0.00344896
137 0.268627 0.00344896
138 0.270588 0.00344896
139 0.272549 0.00344896
140 0.27451 0.00344896
141 0.276471 0.00344896
142 0.278431 0.00344896
143 0.280392 0.00344896
144 0.282353 0.00344896
145 0.284314 0.00344896
146 0.286275 0.00344896
147 0.288235 0.00344896
148 0.290196 0.00344896
149 0.292157 0.00344896
150 0.294118 0.00344896
151 0.296078 0.00344896
152 0.298039 0.00344896
153 0.3 0.00344896
154 0.301961 0.00344896
155 0.303922 0.00344896
156 0.305882 0.00344896
157 0.307843 0.00344896
158 0.309804 0.00344896
159 0.311765 0.00344896
160 0.313725 0.00344896
161 0.315686 0.00344896
162 0.317647 0.00344896
163 0.319608 0.00344896
164 0.321569 0.00344896
165 0.323529 0.00344896
166 0.32549 0.00344896
167 0.327451 0.00344896
168 0.329412 0.00344896
169 0.331373 0.00344896
170 0.333333 0.00344896
171 0.335294 0.00344896
172 0.337255 0.00344896
173 0.339216 0.00344896
174 0.341176 0.00344896
175 0.343137 0.00344896
176 0.345098 0.00344896
177 0.347059 0.00344896
178 0.34902 0.00344896
179 0.35098 0.00344896
180 0.352941 0.00344896
181 0.354902 0.00344896
182 0.356863 0.00344896
183 0.358824 0.00344896
184 0.360784 0.00344896
185 0.362745 0.00344896
186 0.364706 0.00344896
187 0.366667 0.00344896
188 0.368627 0.00344896
189 0.370588 0.00344896
190 0.372549 0.00344896
191 0.37451 0.00344896
192 0.376471 0.00344896
193 0.378431 0.00344896
194 0.380392 0.00344896
195 0.382353 0.00344896
196 0.384314 0.00344896
197 0.386275 0.00344896
198 0.388235 0.00344896
199 0.390196 0.00344896
200 0.392157 0.00344896
201 0.394118 0.00344896
202 0.396078 0.00344896
203 0.398039 0.00344896
204 0.4 0.00344896
205 0.401961 0.00344896
206 0.403922 0.00344896
207 0.405882 0.00344896
208 0.407843 0.00344896
209 0.409804 0.00344896
210 0.411765 0.00344896
211 0.413725 0.00344896
212 0.415686 0.00344896
213 0.417647 0.00344896
214 0.419608 0.00344896
215 0.421569 0.00344896
216 0.423529 0.00344896
217 0.42549 0.00344896
218 0.427451 0.00344896
219 0.429412 0.00344896
220 0.431373 0.00344896
221 0.433333 0.00344896
222 0.435294 0.00344896
223 0.437255 0.00344896
224 0.439216 0.00344896
225 0.441176 0.00344896
226 0.443137 0.00344896
227 0.445098 0.00344896
228 0.447059 0.00344896
229 0.44902 0.00344896
230 0.45098 0.00344896
231 0.452941 0.00344896
232 0.454902 0.00344896
233 0.456863 0.00344896
234 0.458824 0.00344896
235 0.460784 0.00344896
236 0.462745 0.00344896
237 0.464706 0.00344896
238 0.466667 0.00344896
239 0.468627 0.00344896
240 0.470588 0.00344896
241 0.472549 0.00344896
242 0.47451 0.00344896
243 0.476471 0.00344896
244 0.478431 0.00344896
245 0.480392 0.00344896
246 0.482353 0.00344896
247 0.484314 0.00344896
248 0.486275 0.00344896
249 0.488235 0.00344896
250 0.490196 0.00344896
251 0.492157 0.00344896
252 0.494118 0.00344896
253 0.496078 0.00344896
254 0.498039 0.00344896
255 0.5 0.00344896
256 0.501961 0.00344896
257 0.503922 0.00344896
258 0.505882 0.00344896
259 0.507843 0.00344896
260 0.509804 0.00344896
261 0.511765 0.00344896
262 0.513725 0.00344896
263 0.515686 0.00344896
264 0.517647 0.00344896
265 0.519608 0.00344896
266 0.521569 0.00344896
267 0.523529 0.00344896
268 0.52549 0.00344896
269 0.527451 0.00344896
270 0.529412 0.00344896
271 0.531373 0.00344896
272 0.533333 0.00344896
273 0.535294 0.00344896
274 0.537255 0.00344896
275 0.539216 0.00344896
276 0.541176 0.00344896
277 0.543137 0.00344896
278 0.545098 0.00344896
279 0.547059 0.00344896
280 0.54902 0.00344896
281 0.55098 0.00344896
282 0.552941 0.00344896
283 0.554902 0.00344896
284 0.556863 0.00344896
285 0.558824 0.00344896
286 0.560784 0.00344896
287 0.562745 0.00344896
288 0.564706 0.00344896
289 0.566667 0.00344896
290 0.568627 0.00344896
291 0.570588 0.00344896
292 0.572549 0.00344896
293 0.57451 0.00344896
294 0.576471 0.00344896
295 0.578431 0.00344896
296 0.580392 0.00344896
297 0.582353 0.00344896
298 0.584314 0.00344896
299 0.586275 0.00344896
300 0.588235 0.00344896
301 0.590196 0.00344896
302 0.592157 0.00344896
303 0.594118 0.00344896
304 0.596078 0.00344896
305 0.598039 0.00344896
306 0.6 0.00344896
307 0.601961 0.00344896
308 0.603922 0.00344896
309 0.605882 0.00344896
310 0.607843 0.00344896
311 0.609804 0.00344896
312 0.611765 0.00344896
313 0.613725 0.00344896
314 0.615686 0.00344896
315 0.617647 0.00344896
316 0.619608 0.00344896
317 0.621569 0.00344896
318 0.623529 0.00344896
319 0.62549 0.00344896
320 0.627451 0.00344896
321 0.629412 0.00344896
322 0.631373 0.00344896
323 0.633333 0.00344896
