TITLE = "Residual History"
VARIABLES = "Step" "Time" "Residual"
ZONE F=POINT
103 0.201961 0.00422659
104 0.203922 0.00423623
105 0.205882 0.00424591
106 0.207843 0.00425565
107 0.209804 0.00426544
108 0.211765 0.00427528
109 0.213725 0.00428517
110 0.215686 0.00429511
111 0.217647 0.00430511
112 0.219608 0.00431516
113 0.221569 0.00432526
114 0.223529 0.00433542
115 0.22549 0.00434563
116 0.227451 0.00435589
117 0.229412 0.00436621
118 0.231373 0.00437658
119 0.233333 0.00438701
120 0.235294 0.0043975
121 0.237255 0.00440805
122 0.239216 0.00441865
123 0.241176 0.00442931
124 0.243137 0.00444002
125 0.245098 0.0044508
126 0.247059 0.00446163
127 0.24902 0.00447253
128 0.25098 0.00448349
129 0.252941 0.0044945
130 0.254902 0.00450558
131 0.256863 0.00451672
132 0.258824 0.00452792
133 0.260784 0.00453918
134 0.262745 0.00455051
135 0.264706 0.0045619
136 0.266667 0.00457336
137 0.268627 0.00458488
138 0.270588 0.00459647
139 0.272549 0.00460812
140 0.27451 0.00461984
141 0.276471 0.00463163
142 0.278431 0.00464349
143 0.280392 0.00465541
144 0.282353 0.0046674
145 0.284314 0.00467947
146 0.286275 0.0046916
147 0.288235 0.00470381
148 0.290196 0.00471608
149 0.292157 0.00472843
150 0.294118 0.00474085
151 0.296078 0.00475335
152 0.298039 0.00476592
153 0.3 0.00477856
154 0.301961 0.00479128
155 0.303922 0.00480408
156 0.305882 0.00481695
157 0.307843 0.0048299
158 0.309804 0.00484293
159 0.311765 0.00485604
160 0.313725 0.00486923
161 0.315686 0.00488249
162 0.317647 0.00489585
163 0.319608 0.00490928
164 0.321569 0.00492279
165 0.323529 0.00493639
166 0.32549 0.00495008
167 0.327451 0.00496384
168 0.329412 0.0049777
169 0.331373 0.00499164
170 0.333333 0.00500567
171 0.335294 0.00501979
172 0.337255 0.005034
173 0.339216 0.0050483
174 0.341176 0.00506268
175 0.343137 0.00507717
176 0.345098 0.00509174
177 0.347059 0.00510641
178 0.34902 0.00512117
179 0.35098 0.00513603
180 0.352941 0.00515098
181 0.354902 0.00516604
182 0.356863 0.00518119
183 0.358824 0.00519644
184 0.360784 0.00521179
185 0.362745 0.00522725
186 0.364706 0.0052428
187 0.366667 0.00525846
188 0.368627 0.00527423
189 0.370588 0.0052901
190 0.372549 0.00530607
191 0.37451 0.00532216
192 0.376471 0.00533836
193 0.378431 0.00535466
194 0.380392 0.00537108
195 0.382353 0.00538761
196 0.384314 0.00540425
197 0.386275 0.00542101
198 0.388235 0.00543788
199 0.390196 0.00545487
200 0.392157 0.00547199
201 0.394118 0.00548922
202 0.396078 0.00550657
203 0.398039 0.00552404
204 0.4 0.00554164
205 0.401961 0.00555937
206 0.403922 0.00557722
207 0.405882 0.0055952
208 0.407843 0.00561331
209 0.409804 0.00563155
210 0.411765 0.00564993
211 0.413725 0.00566844
212 0.415686 0.00568708
213 0.417647 0.00570587
214 0.419608 0.00572479
215 0.421569 0.00574385
